編號,資料長度,來源MAC,目的地MAC,Eth類型,時間戳記,來源IP,目的地IP,來源端口,目的地端口,第三層協議,第四層協議,距離上一個封包的時間差(秒),1秒內取消驗證封包數,1秒內Data封包數,是否為Broadcast,是否為重傳封包,訊號強度差值,是否為dos
47,1440,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:39.989803,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.0,1,22,否,False,0,否
48,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:39.989826,10.30.1.140,204.79.197.239,49170,443,6,TCP,2.3e-05,1,23,否,False,0,否
49,1440,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:39.990090,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.000264,1,24,否,False,0,否
50,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:39.990119,10.30.1.140,204.79.197.239,49170,443,6,TCP,2.9e-05,1,25,否,False,0,否
51,406,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:39.991112,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.000993,1,26,否,False,0,否
52,212,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:39.994618,10.30.1.140,204.79.197.239,49170,443,6,TCP,0.003506,1,27,否,False,0,否
53,153,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:39.994863,10.30.1.140,204.79.197.239,49170,443,6,TCP,0.000245,1,28,否,False,0,否
54,987,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:39.995093,10.30.1.140,204.79.197.239,49170,443,6,TCP,0.00023,1,29,否,False,0,否
55,5819,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:39.995143,10.30.1.140,204.79.197.239,49170,443,6,TCP,5e-05,1,30,否,False,0,否
56,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.002453,204.79.197.239,10.30.1.140,443,49170,6,TCP,0.00731,1,31,否,False,0,否
